City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
254,Tabuk,PH,80.8,overcast clouds,17.42,121.44,Grand Zion Garden Resort Hotel
258,Belmonte,BR,71.6,overcast clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
260,Analipsis,GR,70.0,scattered clouds,35.32,25.57,Angelika Apartotel
261,Orapa,BW,74.98,clear sky,-21.28,25.37,
262,Lakatoro,VU,82.4,heavy intensity rain,-16.1,167.42,Lakatoro Palm Lodge
266,Tual,ID,82.47,few clouds,-5.67,132.75,Grand Vilia Hotel
267,Geraldton,AU,77.0,clear sky,-28.77,114.6,Broadwater Mariner Resort
269,San Policarpo,PH,84.02,broken clouds,12.18,125.51,Zal-Ann Beach Resort
270,Jega,NG,78.64,overcast clouds,12.22,4.38,Jega Guest Inn
271,Coahuayana,MX,78.8,broken clouds,18.73,-103.68,Hotel Los Arcos
272,Porto Novo,BJ,77.27,broken clouds,6.5,2.6,Tour Eiffel Hotel Benin
273,Chau Doc,VN,80.19,broken clouds,10.7,105.12,JADE AND SAPPHIRE GUESTHOUSE
274,San Andres,CO,80.6,few clouds,12.58,-81.7,Hotel Arena Blanca
278,Ceres,US,77.0,clear sky,37.59,-120.96,Howard Johnson by Wyndham Modesto Ceres
281,Airai,TL,75.85,clear sky,-8.93,125.41,Juvinal Martin
282,Tahoua,NE,80.6,clear sky,14.89,5.27,Bungalows Guesthouse
286,Nishihara,JP,73.4,broken clouds,26.18,127.76,Minshuku Agaihama
293,Carauari,BR,74.86,broken clouds,-4.88,-66.9,Pousada Lobo
299,Marawi,PH,82.99,scattered clouds,8.0,124.29,Derogongan Residence
301,Puerto Escondido,MX,84.2,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
302,Jodhpur,IN,72.77,clear sky,26.29,73.03,"Umaid Bhawan Palace, Jodhpur"
305,Werda,BW,79.12,clear sky,-25.27,23.28,
307,Wilmington,US,71.01,clear sky,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
311,Saint George,US,73.4,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
314,Buala,SB,87.03,broken clouds,-8.14,159.59,Maringe Lagoon Lodge
315,Jaltenango,MX,72.73,moderate rain,15.87,-92.72,Hotel el Triunfo
316,Ukiah,US,77.0,clear sky,39.15,-123.21,Hampton Inn Ukiah
317,Ritchie,ZA,78.8,broken clouds,-29.04,24.6,Riverside country club
318,Hirara,JP,75.2,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
321,San Jose De Comayagua,HN,72.73,overcast clouds,14.73,-88.03,
322,Sampit,ID,82.15,overcast clouds,-2.53,112.95,Aquarius Boutique Hotel Sampit
323,Buckeye,US,89.6,clear sky,33.37,-112.58,Buckeye Motor Hotel
326,Rantauprapat,ID,78.33,overcast clouds,2.1,99.83,Permata Land Hotel & Resort
327,Prado,BR,73.4,broken clouds,-17.34,-39.22,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
330,Morant Bay,JM,75.2,shower rain,17.88,-76.41,Whispering Bamboo Cove Resort
331,Souillac,MU,73.4,scattered clouds,-20.52,57.52,Bils' Villa
332,Manaure,CO,84.61,overcast clouds,11.78,-72.44,Del mar vendra
333,Hostotipaquillo,MX,73.99,overcast clouds,21.07,-104.07,Hostal DE MINGO
335,Port Hedland,AU,84.2,clear sky,-20.32,118.57,The Esplanade Hotel
338,Kidal,ML,81.99,clear sky,18.44,1.41,
344,Kahului,US,87.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
350,Madison,US,70.0,clear sky,34.73,-86.57,Embassy Suites by Hilton Huntsville Hotel & Spa
352,Cap Malheureux,MU,73.4,scattered clouds,-19.98,57.61,Pereybere Hotel & Spa
356,Madingou,CG,75.97,light rain,-4.15,13.55,HOTEL KIM ELISA
359,Mazagao,BR,84.2,clear sky,-0.12,-51.29,Casa Lima Santos
